LB,SMILES,Exp,DFT,Pred
199,CC(=O)OC1=CC(=O)CC(C)(C)C1,85.11,89.83858620837576,78.11994
200,CC1(C)CC(=O)C=C(C1)C1=CC=C(Cl)C=C1,85.41,92.634824,84.99057
201,CCC(=O)CC1=CC(=O)CC(C)(C)C1,85.44,90.32308946821017,91.580124
202,CC1(C)CC(=O)C=C(C1)C1=CC=C(F)C=C1,86.06,94.3912835,88.48752
203,CC1(C)CC(=O)C=C(C1)C1=CC=CC=C1,86.48,94.04996849999999,92.19908
204,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)C1=CC=CC=C1,87.16,95.5254995,90.7392
205,CC1=CC=C(C=C1)C1=CC(=O)CC(C)(C)C1,88.79,97.09554849999999,93.91962
206,COC1=CC=C(C=C1)C1=CC(=O)CC(C)(C)C1,90.44,100.7843759993733,93.53905
207,CC1=CC(=O)CC(C)(C)C1,90.56,93.643016,92.08188
208,CCSC1=CC(=O)CC(C)(C)C1,96.64,101.70067549985835,87.607315
209,COC1=CC(=O)CC(C)(C)C1,99.89,103.26809899999546,96.070435
210,CCOC1=CC(=O)CC(C)(C)C1,101.25,106.73113349999355,98.619156
211,CC1(C)CC(=O)C=C(C1)N(C1=CC=CC=C1)C1=CC=CC=C1,120.75,120.35222750000001,88.043755
212,CC1(C)CC(=O)C=C(C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1,122.85,126.78732799999999,104.89437
213,CN(C1=CC(=O)CC(C)(C)C1)C1=CC=CC=C1,127.32,130.98287699999997,96.016426
214,CC1(C)CC(=O)C=C(C1)N1CCOCC1,128.06,130.14009149835522,111.03777
215,CC1COCC(C)N1C1=CC(=O)CC(C)(C)C1,128.9,128.6278034889211,98.946236
216,CC1(CC(=CC(=O)C1)N(C)CC2=CC=CC=C2)C,129.11,129.47583999999995,103.22827
217,CC1(C)CC(=O)C=C(C1)N1CCSCC1,129.25,127.37281449999396,109.24768
218,CN1CCN(CC1)C2=CC(=O)CC(C)(C)C2,129.6,139.49662417340605,124.182
219,CCN(Cc1ccccc1)C2=CC(=O)CC(C)(C)C2,130.45,128.04756799999998,111.95322
220,CN(C)C1=CC(=O)CC(C)(C)C1,132.43,131.1981679998948,104.89497
221,CC1CC(C)CN(C1)C1=CC(=O)CC(C)(C)C1,132.51,133.3537035,111.06752
222,CC1(C)CC(=O)C=C(C1)N1CCCCCC1,132.76,134.11509577310454,106.11385
223,CC1(C)CC(=O)C=C(C1)N1CCCCC1,134.15,133.4167154999999,103.87799
224,CC1(C)CC(=O)C=C(C1)N1CCCC1,134.74,131.54998499999968,106.2618
225,CCN(CC)C1=CC(=O)CC(C)(C)C1,135.05,134.53255299999907,102.76021
226,CC1(C)CC(=O)C=C(C1)N1CCC1,136.0,130.53916749999976,100.559456
227,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,62.86,71.08997099999999,62.45049
228,O=C1C2=CC=CC=C2C2=C1C=CC=C2,67.11,68.68763849999999,69.66185
229,CC1(C)CCC2=C(C=CC=C2)C1=O,69.7,62.851152,66.38778
230,C1CC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C1,70.44,72.05086965372723,77.33263
231,CC(C)(C)C(=O)C1=CC=CC=C1,70.7,48.442408,63.495937
232,[O-][N+](=O)c1ccc(cc1)C(=O)\C=C\c2sccc2,72.84,77.00259479628177,102.65726
233,Clc1ccc(cc1)C(=O)\C=C\c2sccc2,77.77,81.54733749998925,103.118225
234,O=C(\C=C\c1sccc1)c2ccccc2,79.73,84.48002099999883,104.65548
235,O=C1CCCC2=C1C=CC=C2,79.98,84.122953,81.73706
236,COC1=CC2=C(CCCC2=O)C=C1,80.01,83.55059203089291,91.07751
237,COc1ccc(cc1)C(=O)\C=C\c2sccc2,81.3,89.09302448482573,107.19169
238,O=C1CCC2=CC=CC=C12,83.01,76.44073999999999,74.24249
239,COC1=CC2=C(C=C1)C(=O)CCC2,88.2,70.19990684622054,84.624146
240,CC1=CC(=O)C=C(O1)C,115.56,117.27251600000001,109.77263
241,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,115.89,113.49051475770659,92.335304
242,CN1N(C(=O)C=C1C)C1=CC=CC=C1,128.61,123.87564849999951,104.36866
243,CCOC(=O)C1=CC(Br)=CC=C1,56.0,53.91394861922686,49.481865
244,CCOC(=O)C1=CC=C(Br)C=C1,57.8,56.38191979736797,58.148403
245,O=COC1=CC=CC=C1,57.84,51.6035035618061,55.97012
246,COC(=O)C1=CC=CC=C1,59.4,48.7548381492266,47.20842
247,CCOC(=O)CF,59.53,45.249778734170945,51.09059
248,CCOC(=O)C1=CC(C)=CC=C1,61.0,53.53850308362771,66.25867
249,CCOC(=O)C1=CC=CC=C1,61.2,58.44293661458326,59.56149
250,CCOC(=O)C1=CC=C(C=C1)F,61.7,57.9966016181155,59.657787
251,CCOC(=O)C1=CC=C(C=C1)C,63.0,61.204963355711435,68.55675
252,CC1COC(=O)O1,64.19,57.73930179560789,53.871624
253,CCOC(=O)C1=CC=C(C=C1)OC,64.7,64.16899081566966,74.31081
254,C1COC(=O)O1,66.4,55.355347273992514,42.52993
255,COC(=O)OC,67.63,42.58176776273058,34.523952
256,COC=O,69.76,57.76030652154656,48.675926
257,CCOC(=O)OCC,71.03,47.399515708837924,55.07283
258,CCOC=O,71.17,61.034303509206666,61.45898
259,COC(C)=O,72.79,67.67419547770047,62.186996
260,COC(=O)C1CC1,74.96,52.61431566610738,48.9668
261,O=C1CCCO1,75.13,70.70402184731182,67.36722
262,CCOC(=O)C,75.55,70.69877141677358,72.7346
263,CN(C)C(=O)C(Cl)(Cl)Cl,55.74,57.5082594804251,27.454163
264,CN(C)C(=O)C(F)(F)F,61.59,54.638587959590396,46.042114
265,CN(C)C(=O)Cl,72.2,58.20926795954962,52.199665
266,CN(C)C(=O)C#N,74.0,63.893315119663455,34.635334
267,CN(C)C(=O)OC,81.36,78.42896593802182,69.01049
268,CCOC(=O)N(C)C,84.16,80.60244235398592,87.65213
269,C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,92.45,88.9564985,58.419586
270,CN(C)C(=O)C(C)(C)C,92.73,92.4300349226711,89.923996
271,CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],94.2,93.23868899592023,103.41328
272,CN(C)C(=O)C1=CC=C(C=C1)C(F)(F)F,98.38,83.57422349222574,102.63849
273,CN(C)C(=O)C1=CC=C(C=C1)Br,98.78,87.12915048502447,98.158554
274,CN1CCN(C1=O)C,98.93,95.23712920261801,92.274155
275,CN(C)C(=O)C1=CC=C(C=C1)F,100.08,99.2353309998891,99.47221
276,CN(C=O)C1=CC=CC=C1,100.83,98.80474899999999,74.07825
277,CN(C)C(=O)C1=CC=CC=C1,101.75,99.8286939997822,101.72397
278,CC1=CC=C(C=C1)C(=O)N(C)C,102.7,101.67442049988026,106.601364
279,CN(C)C(=O)C1=CC=C(C=C1)OC,103.19,94.74047496851584,102.00729
280,CN(C)C(=O)N(C)C,108.62,109.47215537653719,98.101974
281,CN(C)C(=O)C1=CC=C(C=C1)N(C)C,108.76,108.84444015729272,109.91033
282,CN(C)C=O,110.49,103.78794799996781,93.13068
283,CCC(=O)N(C)C,110.56,88.79369190958218,97.535614
284,CN1CCCCCC1=O,111.42,109.76358599999985,103.15577
285,CC(C)N1CCCC1=O,112.08,113.4550389999988,109.0085
